time,current
Starting data collection:,
344110,0.13305
344211,0.13281
344312,0.1474
344412,0.13791
344512,0.13538
344612,0.15896
344712,0.16489
344812,0.53006
344912,0.77877
345014,0.83658
345114,0.64618
345215,0.70692
345315,0.8114
345415,0.77136
345515,0.84456
345615,0.82347
345717,0.90649
345820,0.91103
345922,0.9128
346024,0.90218
346125,0.91346
346225,0.90652
346325,0.92402
346425,0.95271
346525,0.9621
346628,0.9878
346728,1.00494
346828,1.02064
346928,1.03799
347028,1.05683
347128,1.08391
347228,1.07213
347331,1.0745
347431,1.0973
347531,1.10773
347631,1.10404
347732,1.10586
347832,1.12953
347932,1.12291
348032,1.16093
348132,1.13458
348232,1.1418
348332,1.14049
348432,1.15607
348532,1.15299
348632,1.17288
348733,1.15767
348833,1.20157
348933,1.1725
349033,1.20972
349134,1.18681
349234,1.12965
349334,1.17863
349434,1.16101
349534,1.12881
349636,1.10873
349736,0.97651
349836,0.78187
349936,0.72092
350038,0.78876
350138,0.81689
350239,0.83134
350339,0.87334
350439,0.55817
350540,0.13778
350640,0.139
350740,0.1458
350844,0.15904
350944,0.15405
351045,0.16275
351145,0.11455
351245,0.13864
351348,0.15276
351449,0.18201
351549,0.15585
351650,0.15161
351752,0.17668
351852,0.14309
351953,0.13565
352055,0.14258
352155,0.16425
352255,0.1453
352355,0.12204
352455,0.156
352560,0.16629
352660,0.14037
352762,0.13336
352862,0.13905
352962,0.15681
353065,0.15967
353165,0.15475
353265,0.13811
353365,0.14524
353465,0.16218
353565,0.14988
353665,0.15661
353765,0.14116
353869,0.14689
353970,0.15105
354070,0.15718
354170,0.14384
354271,0.14348
354371,0.15167
354474,0.1483
354574,0.15131
354675,0.15905
354775,0.15289
354876,0.14159
354976,0.13786
355076,0.16455
355179,0.15438
355283,0.15117
355383,0.15432
355483,0.14507
355583,0.12788
355683,0.16115
355783,0.13031
355883,0.12394
355985,0.11689
356085,0.13812
356185,0.76389
356286,2.46669
356386,1.57746
356487,0.10459
356587,0.08324
356687,0.08252
356787,0.12716
356889,0.10963
356989,0.10009
357089,0.09823
357190,0.10773
357290,0.10707
357390,0.12424
357493,0.09286
357593,0.12731
357695,0.09413
357797,0.12855
357897,0.08719
357997,0.09247
358097,0.11124
358197,0.07688
358299,0.08757
358404,0.10102
358504,0.09885
358606,0.08634
358707,0.13277
358807,0.07066
358907,0.1433
359007,0.08711
359107,0.08148
359209,0.11377
359309,0.09155
359409,0.10203
359510,0.10229
359611,0.09712
359713,0.10828
359813,0.1228
359915,0.0839
360015,0.12462
360115,0.10522
360215,0.08113
360315,0.09784
360418,0.10517
360520,0.11133
360622,0.1227
360722,0.1004
360822,0.10798
360923,0.10329
361023,0.12265
361123,0.11687
361226,0.10718
361327,0.13331
361427,0.12089
361529,0.15632
361629,0.11463
361731,0.39256
361831,1.06656
361933,1.41016
362033,1.02298
362133,0.96899
362233,0.79596
362333,0.74554
362433,0.66618
362533,0.77975
362633,0.91245
362734,0.86048
362834,0.72681
362934,0.7694
363034,0.69254
363134,0.61301
363234,0.70764
363334,0.69533
363434,0.63113
363534,0.56201
363634,0.59399
363736,0.91198
363839,0.90611
363942,0.70572
364042,0.51999
364145,0.79951
364246,0.73021
364346,0.95471
364446,0.69834
364546,0.82895
364646,1.0276
364746,1.00224
364848,0.73134
364948,0.64222
365048,0.66999
365148,0.78307
365248,0.67798
365348,0.63641
365448,0.51234
365548,0.75506
365651,0.62854
365751,0.67612
365854,0.64693
365954,0.72877
366056,0.45969
366157,0.75295
366258,0.65972
366358,0.60498
366458,0.58146
366559,0.59683
366659,0.58569
366761,0.5554
366861,0.52813
366965,0.55351
367065,0.55392
367165,0.56421
367267,0.5306
367367,0.58173
367469,0.57436
367569,0.59035
367673,0.64807
367773,0.61861
367873,0.68372
367976,0.6746
368077,0.6803
368177,0.67369
368277,0.53808
368381,0.48198
368481,0.51722
368581,0.50599
368681,0.53832
368781,0.52305
368881,0.54826
368981,0.57034
369082,0.54775
369183,0.60489
369283,0.57852
369383,0.56116
369483,0.57606
369583,0.46365
369683,0.61772
369784,0.94455
369884,0.73024
369984,0.6902
370084,0.77072
370184,0.71913
370284,0.66028
370384,0.84601
370486,0.92609
370586,1.14481
370686,1.50984
370786,3.51776
370888,2.62121
370988,0.3912
371088,0.05223
371188,0.1129
371288,0.0672
371391,0.07718
371492,0.13291
371592,0.08802
371694,0.09041
371794,0.1153
371894,0.13747
371994,0.13295
372094,0.14512
372196,0.14201
372297,0.13845
372397,0.14014
372497,0.14082
372597,0.14732
372697,0.15075
372797,0.14726
372900,0.1555
373000,0.15062
373100,0.13706
373202,0.14339
373302,0.13386
373402,0.16158
373502,0.12942
373605,0.16293
373705,0.12342
373805,0.15443
373907,0.12364
374007,0.1662
374107,0.11231
374209,0.18874
374309,0.13747
374411,0.11702
374511,0.14524
374611,0.12037
374711,0.12404
374811,0.13305
374913,0.13003
375013,0.13076
375113,0.13968
375213,0.13463
375314,0.14518
375414,0.13112
375514,0.12941
375614,0.13832
375717,0.14396
375817,0.13655
375917,0.14173
376019,0.12905
376121,0.1275
376221,0.13034
376321,0.13373
376422,0.13371
376522,0.14113
376622,0.12544
376725,0.11483
376825,0.11807
376925,0.13138
377025,0.13985
