time,current
29785,1.93969
29887,1.95437
29987,1.95851
30087,1.95496
30187,1.95399
30290,1.95484
30390,1.94421
30490,1.94743
30591,1.95233
30691,1.95406
30791,1.94398
30894,1.95100
30995,1.95153
31095,1.95061
31196,1.94530
31296,1.94806
31396,1.94528
31498,1.95158
31598,1.95061
31701,1.95295
31803,1.95668
31903,1.95414
32003,1.95292
32103,1.94735
32204,1.95114
32304,1.94768
32408,1.95569
32508,1.94496
32608,1.94709
32708,1.94271
32808,1.92608
32909,1.93156
33009,1.94916
33110,1.95089
33212,1.95244
33312,1.95072
33413,1.94263
33515,1.95982
33615,1.95590
33719,1.95206
33819,1.95101
33922,1.94086
34022,1.95451
34122,1.95684
34222,1.95502
34322,1.94934
34422,1.95518
34525,1.95374
34625,1.95412
34725,1.95595
34825,1.96102
34926,1.95734
35026,1.95313
35130,1.95182
35231,1.94786
35331,1.95407
35431,1.95986
35531,1.95517
35632,1.94345
35732,1.95097
35834,1.95460
35937,1.95021
36038,1.96234
36140,1.95541
36240,1.96320
36340,1.95305
36440,1.96471
36542,1.96395
36642,1.96322
36744,1.95850
36844,1.96031
36946,1.95281
37046,1.94121
37146,1.94698
37250,1.95487
37350,1.95455
37450,1.96579
37554,1.95892
37656,1.96355
37756,1.96811
37856,2.00529
37957,1.98828
38057,1.75658
38161,2.57247
38261,2.11503
38365,2.22168
38465,2.23725
38568,2.38802
38668,1.86575
38768,1.90390
38870,1.91947
38970,2.06508
39072,2.61559
39172,2.73381
39272,2.85586
39372,2.90967
39473,2.67437
39573,2.19920
39673,2.09730
39773,2.13210
39873,2.14325
39973,2.18087
40074,2.17278
40175,2.17231
40275,2.17047
40375,2.16591
40475,2.15419
40576,2.15102
40676,2.13752
40780,2.10760
40880,2.10489
40980,2.08880
41080,2.08308
41180,2.05583
41280,2.01777
41381,1.99693
41481,1.99881
41581,1.97689
41682,1.96768
41783,1.97581
41883,1.97261
41986,1.96792
42086,1.97902
42186,1.98160
42286,1.99251
42388,1.97881
42488,1.93889
42589,1.88734
42690,1.90752
42792,1.88216
42892,1.88943
42992,1.89436
43094,1.88772
43197,1.88519
43297,1.88576
43400,1.88009
43500,1.87580
43601,1.83101
43701,1.82026
43801,1.80915
43905,1.81620
44005,1.81845
44105,1.85382
44206,1.73193
44306,1.74774
44410,1.84106
44512,1.85200
44612,1.90177
44714,1.91410
44814,1.90823
44914,1.89532
45015,1.90241
45115,1.90257
45215,1.89804
45315,1.90241
45415,1.90740
45515,1.89140
45615,1.88808
45715,1.89283
45815,1.89478
45920,1.87871
46022,1.87517
46122,1.89251
46222,1.90177
46322,1.90291
46424,1.87376
46524,1.81586
46624,1.85438
46724,1.85484
46824,1.83174
46924,1.78879
47027,1.77561
47127,1.76605
47227,1.75886
47327,1.76500
47427,1.75906
47531,1.75017
47631,1.75544
47731,1.76173
47831,1.76153
47933,1.76159
48035,1.73222
48135,1.71161
48236,1.72731
48336,1.73245
48436,1.72361
48537,1.71890
48637,1.71578
48737,1.72359
48837,1.73053
48937,1.70823
49037,1.54021
49137,1.51813
49237,1.51881
49337,1.51119
49439,1.51725
49542,1.50285
49645,1.51195
49747,1.56151
49852,1.53226
49952,1.42691
50052,1.41586
50155,1.36786
50255,1.36669
50355,1.37015
50457,1.37546
50557,1.36382
50657,1.37515
50757,1.36503
50857,1.37376
50957,1.37131
51057,1.36287
51157,1.36678
51259,1.37008
51359,1.35576
51459,1.36654
51559,1.36968
51659,1.36568
51760,1.37373
51860,1.36218
51963,1.35471
52063,1.36290
52164,1.35566
52264,1.37358
52365,1.37159
52465,1.69330
52565,1.40419
52665,1.35467
52767,1.31074
52867,1.31349
52970,1.16780
53072,1.28475
53172,0.90095
53276,0.88084
53376,0.86404
53481,0.86192
53581,0.85841
53681,0.87012
53781,0.93298
53881,0.90928
53981,0.89151
54081,0.88921
54182,1.08913
54282,1.23576
54382,1.19477
54482,0.96550
54582,0.98975
54687,0.90565
54787,0.89504
54888,0.88316
54990,0.88470
55090,0.88969
55190,0.89717
55290,0.89146
55390,0.88920
55490,0.88727
55594,0.89100
55694,0.88328
55794,0.88271
55894,0.89433
55994,0.89814
56099,1.04013
56199,1.06036
56299,1.00037
56402,1.01175
56504,0.98409
56604,0.98999
56704,0.98642
56805,0.96051
56905,0.96191
57005,0.96173
57105,1.07337
57205,0.95519
57305,0.90441
57405,0.88859
57508,0.89258
57609,0.89426
57710,0.90230
57810,0.88625
57910,0.89202
58010,0.88792
58110,0.88434
58210,0.88425
58310,0.88199
58413,0.88214
58513,0.88477
58613,0.88337
58713,0.88325
58815,0.87706
58917,0.88272
59017,0.88111
59117,0.87257
59220,0.86287
59320,0.85776
59420,0.86964
59520,0.92030
59620,0.93045
59722,0.90974
59822,0.95783
59925,0.89939
60025,0.89423
60125,0.88149
60225,0.87711
60328,0.85516
60430,0.87772
60530,0.87381
60633,0.87958
60733,0.89642
60836,0.88342
60939,1.06342
61039,1.25674
61140,1.25201
61240,1.23573
61341,1.34486
61441,1.29115
61541,1.26678
61642,1.26573
61744,1.25413
61845,1.48331
61945,1.57613
62045,1.57428
62145,1.55169
62245,1.56551
62345,1.73751
62445,1.64113
62548,6.05106
62648,9.97109
62748,9.97199
62848,9.97063
62953,9.95830
63054,9.95783
63154,9.94607
63254,9.95004
63356,9.94420
63456,9.95016
63556,9.93969
63656,9.94029
63756,9.92559
63858,9.94990
63959,9.94147
64059,9.94403
64163,9.93397
64263,9.93866
64363,9.92883
64464,9.93651
64564,9.93580
64664,9.93733
64764,9.93126
64864,9.92368
64965,9.92533
65065,9.93875
65165,9.92721
65265,9.93666
65366,9.93410
65468,9.93733
65568,9.93497
65668,9.94232
65768,9.93176
65868,9.92621
65972,9.93023
66072,9.93136
66172,9.92689
66272,9.93224
66373,9.92672
66473,9.93040
66573,9.92849
66673,9.93058
66774,9.92063
66874,9.93306
66974,9.92325
67074,9.92709
67176,9.92520
67276,9.92890
67376,9.92579
67476,9.92994
67576,9.92278
67678,9.92801
67779,9.92532
67879,9.92967
67979,9.92135
68080,9.91368
68181,9.90647
68281,9.92474
68381,9.91480
68481,9.91852
68581,9.91469
68682,9.91648
68782,9.91751
68882,9.91838
68982,9.91757
69082,9.92252
69182,9.91062
69282,9.90449
69384,9.90629
69484,9.91150
69587,9.91242
69689,9.91056
69789,9.91647
69892,9.91481
69992,9.91171
70092,9.91221
70192,9.90730
70293,9.91540
70393,9.90909
70493,9.91207
70593,6.52427
70693,-1.44071
70796,6.78253
70896,9.88110
70996,-2.55664
71096,0.97375
71196,1.01031
71299,1.04707
71399,1.02269
71499,2.03863
71601,1.80126
71701,0.96430
71804,0.95564
71907,0.95821
72014,0.95481
72114,0.95096
72214,0.95952
72317,0.96023
72417,1.01737
72519,1.12212
72619,1.19776
72722,1.20533
72822,1.40384
72922,1.81597
73023,1.70668
73123,2.20379
73226,2.18029
73328,2.33570
73428,2.27374
73528,2.01510
73629,1.88924
73729,1.84042
73829,1.82376
73929,1.81561
74029,1.82711
74129,1.81469
74232,1.80112
74332,1.81465
74432,1.77149
74532,1.67231
74632,1.74090
74732,1.51813
74832,1.49394
74932,1.46042
75034,1.45495
75134,1.45213
75236,1.46033
75336,1.45778
75437,1.42969
75537,1.44073
75642,1.43942
75743,1.44335
75843,1.45868
75943,1.46004
76043,1.44496
76145,1.41725
76246,1.41720
76346,1.41575
76451,1.40416
76551,1.39119
76651,1.37878
76751,1.37950
76852,1.37374
76953,1.37709
77054,1.36762
77154,1.35540
77254,1.36547
77355,1.35876
77456,1.37136
77556,1.35855
77658,1.37786
77761,1.36736
77864,1.37006
77968,1.37117
78068,1.36714
78168,1.36817
78271,1.38067
78371,1.37807
78474,1.38153
78574,1.38253
78674,1.38622
78774,1.37349
78874,1.37875
78974,1.37426
79076,1.37712
79176,1.36795
79276,1.37034
79376,1.35800
79477,1.35933
79578,1.35195
79679,1.36566
79779,1.35650
79879,1.36001
79982,1.35818
80083,1.35551
80183,1.35995
80287,1.35672
80387,1.35086
80487,1.34996
80591,1.35859
80691,1.34744
80791,1.35038
80892,1.34249
80992,1.35722
81092,1.35644
81192,1.35949
81292,1.36069
81395,1.33822
81496,1.35713
81598,1.35253
81700,1.34547
81800,1.34921
81900,1.34999
82000,1.34962
82100,1.33913
82200,1.33852
82300,1.34781
82400,1.33144
82501,-8.95976
82602,-20.93731
82702,-20.94276
82802,-20.94420
82902,-20.94498
83002,-20.95311
83102,-20.95531
83202,-20.96364
83302,-20.96462
83402,-20.96420
83505,-20.96288
83605,-20.96272
83705,-20.96665
83806,-20.96989
83908,-20.96693
84008,-20.97009
84108,-20.96533
84208,-20.96855
84308,-20.97129
84410,-20.96344
84511,-20.96910
84611,-20.95785
84711,-20.96105
84813,-20.97305
84914,-20.97022
85014,-20.97009
85114,-20.95671
85214,-20.97590
85314,-20.97316
85414,-20.97419
85514,-20.97429
85616,-20.97337
85717,-20.97437
85817,-20.97271
85917,-20.96998
86017,-20.97375
86117,-20.97390
86221,-20.97139
86322,-20.97421
86424,-20.97782
86524,-20.97538
86624,-20.97186
86724,-20.97507
86824,-20.97618
86924,-20.97684
87024,-20.97695
87124,-20.97873
87224,-20.97480
87324,-20.97788
87424,-20.97960
87524,-20.98177
87627,-20.97583
87727,-20.99183
87827,-20.97655
87927,-20.98184
88027,-20.98329
88128,-20.99615
88228,-2.58070
88328,1.30334
88428,1.29971
88528,1.30223
88628,1.30009
88728,1.30659
88830,1.30461
88931,1.30096
89031,1.31061
89136,1.28710
89236,1.27654
89339,1.29118
89439,1.27612
89539,1.29286
89640,1.28576
89741,1.26945
89842,1.24149
89942,1.23811
90045,1.23502
90148,1.23760
90249,1.23706
90349,1.23075
90450,1.23179
90550,1.22643
90650,1.22803
90752,1.22515
90853,1.20952
90953,1.22160
91055,1.23331
91155,1.22726
91257,1.23423
91357,1.19421
91457,1.19491
91560,1.19444
91660,1.19439
91761,1.19970
91861,1.18667
91963,1.19609
92068,1.20208
92168,1.18931
92268,1.19289
92368,1.19300
92469,1.19297
92569,1.18891
92669,1.18291
92770,1.18551
92870,1.16853
92970,1.18595
93074,1.18827
93174,1.17915
93274,1.18247
93374,1.18481
93474,0.42746
93578,1.17627
93680,1.18978
93780,1.17805
93884,1.18165
93984,1.16611
94084,1.17897
94184,1.18654
94284,1.18266
94384,1.17255
94484,1.18005
94586,1.17587
94686,1.18088
94786,1.17345
94886,1.17839
94986,1.18115
95086,1.16471
95186,1.18158
95286,1.19299
95386,1.18304
95486,1.17516
95586,1.17880
95688,1.18587
95790,1.17102
95890,1.18521
95990,1.18270
96090,1.18080
96193,1.17438
96295,1.17467
96395,1.18409
96495,1.18590
96595,1.17561
96698,1.17539
96798,1.16619
96898,1.16442
96998,1.16459
97098,1.16857
97198,1.16309
97298,1.15521
97398,1.16211
97498,1.15345
97598,1.15044
97698,1.14794
97799,1.15462
97899,1.15834
98001,1.15845
98104,1.16005
98205,1.15138
98305,1.14567
98405,1.17710
98508,1.21888
98608,1.20817
98708,1.21047
98813,1.20976
98913,1.20054
99013,1.21052
99113,1.20768
99213,1.20632
99314,1.19946
99414,1.18988
99517,1.31280
99617,1.31018
99717,1.29288
99817,1.28669
99917,1.32966
100017,1.30615
100117,1.29942
100217,1.38941
100317,1.40908
100417,1.39532
100517,1.37531
100617,1.37790
100719,1.31961
100819,1.21655
100919,1.17832
101019,1.17802
101119,1.17488
101219,1.17850
101319,1.16818
101419,1.16315
101520,1.13096
101620,0.99483
101720,0.93497
101823,0.92150
101924,0.90794
102024,0.90445
102127,0.94389
102227,0.93673
102327,0.93272
102429,0.91437
102529,0.91289
102629,0.90165
102731,0.88909
102833,0.88920
102934,0.89981
103034,0.90252
103134,0.90215
103234,0.91222
103334,0.90519
103434,0.91177
103537,0.90434
103638,0.91311
103738,1.04236
103839,0.91430
103939,0.91031
104039,0.93228
104142,0.88072
104245,0.99155
104346,0.97075
104446,0.89424
104547,0.88206
104647,0.88765
104747,0.89346
104848,0.91789
104948,0.90189
105048,0.89742
105148,0.89504
105250,0.92030
105350,0.90370
105451,0.91576
105551,0.91529
105655,0.91877
105756,0.91621
105856,0.91685
105958,0.90567
106058,0.90805
106158,0.91397
106258,0.91327
106358,0.91053
106458,0.91811
106558,0.90779
106660,0.91205
106762,0.91116
106862,0.92178
106965,0.91639
107065,0.90941
107168,0.90179
107272,0.92253
107372,0.91197
107475,0.91194
107578,0.91736
107678,0.92043
107778,0.91407
107881,0.91213
107981,0.92937
108081,0.92523
108182,0.92354
108284,0.91434
108384,0.92098
108486,0.93226
108586,0.93021
108687,0.92875
108787,0.92561
108888,0.93377
108988,0.93375
109089,0.93248
109189,0.93325
109292,0.93179
109394,0.92369
109494,0.93527
109594,0.92624
109697,0.92744
109800,0.92610
109900,0.93080
110000,0.93106
110102,0.94227
110202,0.93610
110304,0.93530
110404,0.93162
110504,0.92842
110604,0.93963
110704,0.94758
110808,0.95002
110908,0.95405
111008,0.96192
111112,0.96732
111212,0.95840
