time,current
Starting data collection:
262236,2.13500
262337,1.67196
262437,1.72596
262537,1.29062
262637,1.71986
262737,1.54925
262837,1.60590
262937,1.99176
263039,1.03212
263144,1.81771
263244,1.53280
263347,1.48089
263447,1.49676
263550,1.97477
263650,1.79614
263750,1.65075
263850,1.70272
263950,1.36490
264054,1.31999
264154,1.59120
264254,1.85240
264354,1.23010
264454,1.33651
264554,1.66489
264654,1.59650
264754,1.54509
264857,1.70772
264957,1.95151
265057,2.10045
265157,1.55251
265257,1.63430
265357,1.84570
265460,1.40525
265563,1.78743
265663,1.84731
265763,1.58692
265865,1.30068
265965,1.79199
266065,1.68694
266168,1.54938
266268,1.66109
266368,1.59564
266469,1.32108
266569,1.67968
266669,1.03492
266771,1.59513
266872,1.51791
266974,1.68686
267074,1.96395
267181,2.07873
267281,1.73188
267383,1.77953
267484,1.62730
267584,1.70397
267684,1.79934
267788,1.45606
267890,1.69013
267990,1.36874
268090,1.80100
268190,1.52121
268291,1.89323
268392,1.82685
268492,1.34239
268592,1.71954
268692,1.35219
268792,1.57755
268894,2.12923
268995,1.69750
269097,1.91019
269197,1.90079
269298,1.59580
269400,1.95732
269500,1.89124
269600,2.14263
269700,1.85520
269801,1.75476
269901,1.78064
270004,1.66739
270104,1.66192
270204,1.56256
270307,1.68421
270407,2.08079
270507,1.82333
270607,1.43929
270710,1.80592
270813,1.65231
270913,1.73083
271013,1.76863
271113,1.62339
271218,1.57091
271318,1.77445
271418,2.22299
271518,1.97062
271618,1.70656
271719,1.32045
271819,1.83708
271919,2.20375
272020,2.21084
272120,1.91195
272221,1.96806
272321,1.91996
272421,1.68671
272521,1.68085
272622,1.94948
272722,1.83769
272825,1.92689
272928,2.17704
273030,2.16021
273130,1.95574
273230,1.73208
273330,1.94542
273430,2.02382
273530,1.24599
273630,1.89725
273732,1.83873
273833,2.08314
273935,2.04059
274036,2.21032
274136,1.63656
274238,2.11952
274338,1.92221
274440,2.02821
274540,1.77607
274640,1.59032
274740,1.77410
274840,1.87744
274942,1.53879
275044,2.05495
275144,2.03238
275244,1.67754
275344,1.99391
275446,1.87691
275546,1.68346
275648,1.76154
275749,1.58771
