time,current
Starting data collection:
204693,1.15844
204794,1.18462
204894,1.12109
204994,1.15058
205094,1.16155
205196,1.14652
205296,1.11491
205397,1.11783
205499,1.13803
205599,1.17315
205702,1.11039
205802,1.10666
205905,1.11295
206005,1.09247
206105,1.12676
206205,1.09391
206306,1.03179
206406,1.09197
206509,1.12898
206609,1.11570
206711,1.08334
206813,1.07301
206913,1.08013
207016,1.08480
207116,1.12024
207219,1.09038
207323,1.07772
207425,1.09043
207525,1.09756
207630,1.10704
207730,1.07115
207830,1.06611
207933,1.07316
208038,1.07349
208140,1.07714
208240,1.06337
208344,1.07368
208444,1.06794
208544,1.08385
208644,1.08613
208748,1.06468
208848,1.12181
208949,1.08104
209049,1.06783
209152,1.07867
209252,1.05125
209352,1.05365
209453,1.12702
209554,1.03845
209654,1.04580
209758,1.08785
209859,1.05983
209959,1.10610
210059,1.16088
210159,1.48354
210261,1.87482
210363,2.28008
210463,2.45610
210563,2.60183
210663,2.13688
210763,2.30602
210863,1.94378
210964,2.27115
211064,2.63530
211167,2.87042
211267,2.92005
211367,2.29172
211467,2.55262
211567,2.81252
211667,2.00251
211767,1.88460
211869,2.16578
211969,1.90828
212071,2.12812
212171,1.94367
212273,2.51719
212373,2.07490
212476,1.81541
212576,2.05312
212676,1.83383
212776,1.67208
212881,1.94661
212981,2.04700
213081,2.01865
213181,2.12377
213281,1.97743
213381,1.79237
213481,1.79062
213581,1.81594
213681,2.09219
213781,2.15800
213881,1.89242
213981,1.90235
214082,2.23619
214182,3.21474
214284,3.42517
214384,4.28434
214487,3.38718
214588,1.60022
214689,1.21114
214791,1.82664
214892,1.56699
214992,1.21279
215092,1.98971
215192,1.14426
215296,1.27225
215396,1.60489
215496,2.63317
215596,1.96743
215696,1.11148
215796,1.29528
215896,1.09545
215996,1.18279
216099,1.14244
216199,1.08107
216299,1.17698
216399,1.14962
216500,1.15572
216600,1.10866
216700,1.16995
216802,1.20706
216903,1.13878
217003,1.17565
217108,1.22085
217208,1.25122
217308,1.03801
217410,1.10684
217512,1.15250
217612,1.03706
217713,1.04495
217814,1.14749
217915,1.14531
218015,1.03276
218119,1.07810
218219,1.22071
218319,1.12115
218419,1.06107
218519,1.16995
218619,1.37654
218719,1.23552
218819,2.04291
218919,2.49335
219019,1.89766
219119,2.11554
219221,2.22955
219321,1.95078
219421,1.83158
219522,1.90147
219623,1.82318
219724,1.72972
219824,1.67475
219924,1.65678
220024,1.72414
220124,1.64121
220224,1.56538
220326,1.62562
220428,1.66613
220528,1.62403
220630,1.74122
220730,1.64561
220830,1.71367
220930,1.56806
221030,1.68799
221135,1.65633
221235,1.72864
221335,1.55672
221435,1.75447
221538,1.75077
221641,1.90509
221745,1.79627
221847,1.85923
221948,1.74940
222048,1.57522
222148,1.76284
222248,1.74818
222348,1.75266
222453,1.78362
222555,1.73772
222655,1.65172
222755,1.71254
222855,1.67257
222955,1.64436
223055,1.66572
