time,kalman_heading,gps_heading,gyro_heading
84399,3.177,3.15,3.17
84505,3.163,3.14,3.14
84606,3.109,3.08,3.11
84715,3.109,3.08,3.04
84817,3.019,3.05,3.02
84923,3.019,3.05,3.02
85027,3.027,3.03,3.03
85131,3.027,3.03,3.05
85233,3.070,3.01,3.08
85340,3.070,3.01,3.10
85443,3.104,2.97,3.11
85548,3.104,2.97,3.12
85657,3.109,2.94,3.10
85769,3.109,2.94,3.09
85878,3.084,2.94,3.07
85981,3.084,2.94,3.05
86084,3.048,2.94,3.05
86188,3.048,2.94,3.05
86290,3.053,2.89,3.07
86395,3.053,2.89,3.10
86499,3.101,2.82,3.14
86603,3.199,2.77,3.21
86705,3.199,2.77,3.25
86808,3.255,2.67,3.27
86918,3.255,2.67,3.27
87027,3.259,2.66,3.27
87138,3.259,2.66,3.25
87243,3.219,2.65,3.22
87348,3.219,2.65,3.21
87454,3.196,2.69,3.21
87556,3.196,2.69,3.24
87663,3.241,2.73,3.27
87768,3.241,2.73,3.29
87881,3.290,2.85,3.32
87988,3.290,2.85,3.34
88102,3.333,2.89,3.35
88208,3.326,2.95,3.33
88308,3.326,2.95,3.32
88415,3.275,3.00,3.28
88520,3.275,3.00,3.27
88622,3.258,3.00,3.27
88733,3.258,3.00,3.29
88841,3.303,2.97,3.32
88942,3.303,2.97,3.35
89048,3.359,2.95,3.38
89157,3.359,2.95,3.40
89264,3.391,2.93,3.39
89367,3.391,2.93,3.37
89475,3.355,2.97,3.35
89584,3.355,2.97,3.29
89692,3.274,3.00,3.25
89804,3.274,3.00,3.24
89911,3.233,3.08,3.26
90012,3.272,3.07,3.28
90119,3.272,3.07,3.32
90226,3.339,3.09,3.35
90338,3.339,3.09,3.34
90445,3.313,3.10,3.30
90555,3.313,3.10,3.20
90656,3.145,3.07,3.10
90757,3.145,3.07,2.99
90864,2.918,3.06,2.85
90969,2.918,3.06,2.78
91072,2.759,3.03,2.74
91179,2.759,3.03,2.71
91281,2.715,3.00,2.71
91387,2.715,3.00,2.72
91495,2.724,2.86,2.69
91599,2.724,2.86,2.64
91703,2.640,2.80,2.56
